AllStar,Year,Player,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,SsnScr,SsnScr_norm,PosGrp,Percentile
False,2018,Jordan Crawford,19.1,0.1,0.0,0.2,0.15,3.9,-4.8,-0.9,0.0,0.18062381054364113,0.30389258692633786,BackCourt,0.7291666666666667
False,2018,Jae Crowder,10.4,1.0,1.6,2.6,0.06,-0.8,-0.9,-1.7,0.1,0.341116583209386,0.5739154799301911,FrontCourt,0.2733333333333333
False,2018,Dante Cunningham,10.0,1.1,1.3,2.4,0.07400000000000001,-1.4,0.1,-1.4,0.2,0.28098846559370977,0.4727522437309189,FrontCourt,0.4666666666666667
True,2018,Stephen Curry,28.2,7.2,1.9,9.1,0.267,9.9,-1.3,8.6,4.4,0.41367341889707215,0.6959895543833636,BackCourt,0.0708333333333333
False,2018,Troy Daniels,9.8,1.4,0.0,1.4,0.042,0.7,-3.6,-2.9,-0.4,0.30644089920649137,0.5155749805056491,BackCourt,0.36250000000000004
True,2018,Anthony Davis,28.9,8.8,4.9,13.7,0.24100000000000002,2.8,2.3,5.2,4.9,0.5505410350649521,0.9262640338028346,FrontCourt,0.00666666666666671
False,2018,Deyonta Davis,16.6,1.9,0.8,2.7,0.138,-1.3,0.4,-0.9,0.3,0.2597503966033685,0.43702001270684,FrontCourt,0.5166666666666666
False,2018,Ed Davis,15.5,2.5,2.5,5.0,0.16399999999999998,-1.8,1.8,0.0,0.7,0.3175490430227769,0.5342640035647944,FrontCourt,0.3433333333333334
False,2018,Dewayne Dedmon,15.8,1.8,1.9,3.7,0.114,-1.0,1.6,0.5,1.0,0.33671464091424125,0.566509381988033,FrontCourt,0.2866666666666666
False,2018,Sam Dekker,11.5,0.6,0.6,1.2,0.066,-2.1,-1.0,-3.1,-0.2,0.23819155172956707,0.40074808864475636,FrontCourt,0.5766666666666667
False,2018,Malcolm Delaney,10.6,0.4,0.6,1.0,0.047,-2.0,-1.5,-3.6,-0.4,0.2506853600019691,0.42176843864752955,BackCourt,0.5
False,2018,Matthew Dellavedova,8.6,0.3,0.2,0.5,0.032,-2.3,-3.6,-5.9,-0.7,0.21394915909483425,0.3599611990930437,BackCourt,0.6041666666666667
False,2018,Luol Deng,5.5,0.0,0.0,0.0,-0.018000000000000002,-7.2,-1.3,-8.5,0.0,0.10592182356475822,0.17820937825510139,FrontCourt,0.96
True,2018,DeMar DeRozan,21.0,6.8,2.8,9.6,0.17,2.7,-0.9,1.8,2.6,0.46998553887839656,0.7907325219075501,BackCourt,0.025000000000000022
False,2018,Cheick Diallo,17.0,1.1,0.8,1.9,0.157,-2.8,-0.3,-3.1,-0.2,0.23479163282795185,0.3950278563717141,FrontCourt,0.5833333333333333
False,2018,Gorgui Dieng,14.7,1.6,1.4,2.9,0.105,-1.0,0.6,-0.4,0.5,0.3095434429125502,0.5207948904945287,FrontCourt,0.3766666666666667
False,2018,Spencer Dinwiddie,15.9,4.3,1.4,5.7,0.11800000000000001,2.1,-1.8,0.2,1.3,0.3972495468067942,0.668357023756091,BackCourt,0.09999999999999998
False,2018,Tyler Dorsey,10.0,0.0,0.4,0.4,0.02,-1.8,-2.4,-4.2,-0.6,0.23821510186593747,0.40078771083987297,BackCourt,0.5333333333333333
False,2018,Damyean Dotson,11.6,0.3,0.3,0.6,0.06,-1.4,-1.7,-3.1,-0.1,0.19710573210351226,0.3316227835447734,BackCourt,0.6583333333333333
False,2018,Milton Doyle,5.2,-0.3,0.1,-0.1,-0.052000000000000005,-5.2,-0.6,-5.8,-0.1,0.1288259341442018,0.21674465992303124,BackCourt,0.9125
False,2018,PJ Dozier,-5.0,0.0,0.0,0.0,-0.40399999999999997,-23.5,-10.5,-34.0,0.0,0.12598199535493373,0.2119598427213035,BackCourt,0.9208333333333334
True,2018,Goran Dragic,16.6,2.9,2.3,5.3,0.106,1.0,-1.1,-0.1,1.2,0.4118883268892827,0.6929862060068903,BackCourt,0.07499999999999996
False,2018,Larry Drew,2.9,-0.1,0.0,-0.1,-0.061,-5.4,-5.3,-10.7,-0.2,0.10784535812768405,0.18144565088499653,BackCourt,0.9666666666666667
True,2018,Andre Drummond,22.9,4.6,5.7,10.3,0.18899999999999997,0.2,5.3,5.5,5.0,0.49948513985125126,0.8403644614948811,FrontCourt,0.020000000000000018
False,2018,Jared Dudley,8.8,0.5,0.4,0.8,0.057999999999999996,-1.9,0.0,-1.9,0.0,0.2250715820666297,0.3786742462799825,FrontCourt,0.6066666666666667
False,2018,Kris Dunn,14.5,-1.0,1.9,0.9,0.027000000000000003,-1.4,1.4,-0.1,0.7,0.33299591906115594,0.5602527760588798,BackCourt,0.275
True,2018,Kevin Durant,26.0,7.5,2.9,10.4,0.215,5.0,0.7,5.6,4.5,0.4891081635635823,0.8229055995705222,FrontCourt,0.026666666666666616
False,2018,Jarell Eddie,-1.9,0.0,0.0,0.0,-0.142,-10.0,1.6,-8.4,0.0,0.07476511474355804,0.12578941869778984,FrontCourt,0.9833333333333333
False,2018,Henry Ellenson,10.5,-0.2,0.4,0.1,0.02,-4.3,-2.6,-6.8,-0.4,0.1886472287925702,0.31739167832696985,FrontCourt,0.7266666666666667
False,2018,Wayne Ellington,12.5,2.6,1.9,4.5,0.105,1.8,-1.8,0.0,1.0,0.33953011031768937,0.5712463005473892,BackCourt,0.2583333333333333
True,2018,Joel Embiid,22.9,2.3,3.8,6.2,0.155,0.1,2.5,2.6,2.2,0.4678954582083216,0.7872160418831164,FrontCourt,0.040000000000000036
False,2018,James Ennis,11.6,2.0,1.1,3.1,0.092,-0.6,-0.5,-1.1,0.4,0.29500793185586777,0.49633945439218624,FrontCourt,0.41666666666666663
False,2018,Tyler Ennis,11.1,0.1,0.7,0.8,0.057999999999999996,-2.8,-0.1,-2.9,-0.1,0.2225239752805431,0.3743879962315267,BackCourt,0.5708333333333333
False,2018,Jawun Evans,7.2,-0.8,0.6,-0.2,-0.011000000000000001,-4.2,-0.5,-4.7,-0.5,0.210631153488387,0.3543787827762552,BackCourt,0.6083333333333334
False,2018,Jeremy Evans,10.4,0.0,0.0,0.0,-0.027999999999999997,-2.3,-6.0,-8.3,0.0,0.17527318277641185,0.2948903623083918,FrontCourt,0.7633333333333333
False,2018,Tyreke Evans,21.1,3.1,1.2,4.2,0.126,4.4,-0.8,3.6,2.3,0.35762668635674877,0.6016930909814234,BackCourt,0.17500000000000004
False,2018,Dante Exum,16.7,0.3,0.3,0.7,0.133,-0.5,-0.7,-1.2,0.0,0.1778079887891927,0.29915507555002885,BackCourt,0.7416666666666667
False,2018,Kenneth Faried,17.4,0.9,0.4,1.3,0.132,-1.1,-1.1,-2.3,0.0,0.20459708019627695,0.3442266874521484,FrontCourt,0.6699999999999999
False,2018,Derrick Favors,18.8,4.5,3.5,8.0,0.179,0.5,2.2,2.7,2.5,0.3779041096752669,0.6358090727554656,FrontCourt,0.15000000000000002
False,2018,Kay Felder,3.6,-0.6,0.1,-0.5,-0.175,-8.6,-3.8,-12.4,-0.4,0.153469297559099,0.25820616732993845,BackCourt,0.8416666666666667
False,2018,Cristiano Felício,12.5,1.2,0.5,1.7,0.086,-2.3,-0.1,-2.4,-0.1,0.23773401937885774,0.39997830813109614,FrontCourt,0.5800000000000001
False,2018,Raymond Felton,13.0,0.9,1.3,2.2,0.078,-1.1,-1.7,-2.8,-0.3,0.30897462035972706,0.5198378685129904,BackCourt,0.35
False,2018,Terrance Ferguson,7.4,0.7,0.5,1.2,0.077,-1.2,-1.3,-2.5,-0.1,0.21710643331543247,0.36527319105936096,BackCourt,0.6
False,2018,Yogi Ferrell,11.4,1.5,1.5,3.0,0.064,-0.4,-0.6,-1.0,0.6,0.34335160097347295,0.5776758110189353,BackCourt,0.2416666666666667
False,2018,Dorian Finney-Smith,7.6,-0.2,0.3,0.1,0.015,-2.8,-0.3,-3.1,-0.1,0.1792017145542721,0.3014999653347205,FrontCourt,0.7466666666666666
False,2018,Bryn Forbes,9.1,0.8,1.3,2.1,0.067,-1.2,-1.9,-3.1,-0.4,0.26935131676994467,0.45317319017282603,BackCourt,0.45833333333333337
False,2018,Evan Fournier,15.5,2.4,0.9,3.3,0.087,1.6,-2.1,-0.4,0.7,0.3379806172783461,0.5686393383382922,FrontCourt,0.28
False,2018,De'Aaron Fox,11.2,-1.7,1.1,-0.6,-0.013999999999999999,-2.8,-1.5,-4.4,-1.2,0.3439129266558834,0.5786202198054762,BackCourt,0.23333333333333328
False,2018,Tim Frazier,11.3,0.4,1.0,1.4,0.08,-2.4,0.3,-2.1,0.0,0.24458842496082273,0.41151058085791026,BackCourt,0.5166666666666666
False,2018,Channing Frye,13.1,0.9,0.6,1.5,0.10099999999999999,-0.7,-1.0,-1.7,0.1,0.24515768996227746,0.41246834724218717,FrontCourt,0.5533333333333333
False,2018,Markelle Fultz,12.4,-0.2,0.4,0.2,0.043,-3.8,0.8,-3.0,-0.1,0.15008072392685062,0.2525050230345382,BackCourt,0.8666666666666667
False,2018,Danilo Gallinari,13.8,0.8,0.4,1.2,0.08800000000000001,0.0,-1.5,-1.4,0.1,0.2078805984471331,0.34975108012479345,FrontCourt,0.6566666666666667
False,2018,Langston Galloway,12.2,0.5,0.9,1.4,0.08,-0.2,-1.6,-1.7,0.1,0.2376060797368795,0.39976305462352046,BackCourt,0.5375
False,2018,Marc Gasol,17.4,1.5,2.6,4.0,0.08,-0.1,1.6,1.5,2.1,0.45251626740252354,0.7613411471793613,FrontCourt,0.043333333333333335
False,2018,Pau Gasol,18.9,2.7,3.3,6.0,0.159,-0.1,3.3,3.2,2.4,0.3838987152034694,0.645894765090742,FrontCourt,0.13666666666666671
False,2018,Rudy Gay,18.0,1.0,2.1,3.1,0.122,-0.7,1.0,0.3,0.7,0.30981829818852874,0.5212573238835491,FrontCourt,0.3733333333333333
True,2018,Paul George,18.7,5.0,3.9,8.9,0.147,2.5,0.0,2.5,3.3,0.5006045404540218,0.8422478097863327,FrontCourt,0.01666666666666672
False,2018,Marcus Georges-Hunt,6.9,0.2,0.0,0.2,0.049,-1.7,-2.7,-4.4,-0.1,0.15485820810732323,0.26054295569819824,BackCourt,0.8291666666666666
False,2018,Jonathan Gibson,25.4,0.1,0.0,0.2,0.195,7.2,-5.3,1.9,0.0,0.15973698597410946,0.2687513110778917,BackCourt,0.8083333333333333
False,2018,Taj Gibson,15.4,5.4,1.7,7.2,0.126,0.9,0.2,1.1,2.1,0.38844172791864706,0.6535382085675421,FrontCourt,0.13
False,2018,Manu Ginóbili,12.9,0.6,1.6,2.2,0.08199999999999999,-0.5,-0.5,-1.0,0.3,0.30890597318013757,0.5197223722839613,BackCourt,0.35416666666666663
False,2018,Rudy Gobert,20.7,4.2,3.9,8.1,0.214,-0.3,4.6,4.3,2.9,0.36972876456164205,0.6220543702712393,FrontCourt,0.18666666666666665
False,2018,Aaron Gordon,16.5,0.9,2.0,2.9,0.07200000000000001,0.0,0.0,0.0,1.0,0.3653639473418915,0.6147107338349449,FrontCourt,0.20333333333333337
False,2018,Eric Gordon,15.2,2.9,1.8,4.7,0.105,1.4,-2.4,-1.0,0.5,0.3814886121898149,0.6418398598300566,BackCourt,0.12083333333333335
False,2018,Marcin Gortat,14.7,2.4,2.4,4.9,0.113,-1.6,1.9,0.3,1.2,0.3642555439779895,0.6128458879732602,FrontCourt,0.20999999999999996
False,2018,Treveon Graham,9.0,1.1,0.7,1.8,0.08,-0.6,-0.3,-0.9,0.3,0.23432814362389887,0.3942480536823114,BackCourt,0.5416666666666667
False,2018,Jerami Grant,16.2,3.5,1.9,5.4,0.156,-0.8,0.2,-0.6,0.6,0.32878627101175445,0.5531702057602483,FrontCourt,0.31333333333333335
