Year,Team,Starter,Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
1987,EAST,0,Maurice Cheeks,PHI,8:00,1,2,0,0,2,2,0,0,0,0,1,0,1,1,4,0.5,,1
1987,EAST,0,Robert Parish,BOS,8:00,2,3,0,0,0,0,0,3,3,0,0,1,0,1,4,0.667,,
1988,EAST,1,Larry Bird,BOS,32:00:00,2,8,0,1,2,2,0,7,7,1,4,1,2,4,6,0.25,0,1
1988,EAST,1,Dominique Wilkins,ATL,30:00:00,12,22,0,0,5,6,1,4,5,0,0,1,0,3,29,0.545,,0.833
1988,EAST,1,Michael Jordan,CHI,29:00:00,17,23,0,0,6,6,3,5,8,3,4,4,2,5,40,0.739,,1
1988,EAST,1,Isiah Thomas,DET,28:00:00,4,10,0,0,0,0,1,1,2,15,1,0,6,1,8,0.4,,
1988,EAST,1,Moses Malone,WSB,22:00,2,6,0,0,3,6,5,4,9,2,0,0,2,2,7,0.333,,0.5
1988,EAST,0,Danny Ainge,BOS,19:00,4,11,3,4,1,2,1,2,3,2,1,0,1,1,12,0.364,0.75,0.5
1988,EAST,0,Patrick Ewing,NYK,16:00,4,8,0,0,1,1,1,5,6,0,0,1,1,1,9,0.5,,1
1988,EAST,0,Doc Rivers,ATL,16:00,2,4,0,0,5,11,0,3,3,6,0,0,3,3,9,0.5,,0.455
1988,EAST,0,Brad Daugherty,CLE,15:00,6,7,0,0,0,0,0,3,3,1,0,1,0,4,12,0.857,,
1988,EAST,0,Charles Barkley,PHI,15:00,1,4,0,1,2,2,1,2,3,0,1,1,3,2,4,0.25,0,1
1988,EAST,0,Kevin McHale,BOS,14:00,0,1,0,0,2,2,0,1,1,1,0,2,2,2,2,0,,1
1988,EAST,0,Maurice Cheeks,PHI,4:00,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,,,
1988,WEST,1,Magic Johnson,LAL,39:00:00,4,15,0,1,9,9,1,5,6,19,2,2,8,2,17,0.267,0,1
1988,WEST,1,Karl Malone,UTA,33:00:00,9,19,0,0,4,5,4,6,10,2,2,0,3,4,22,0.474,,0.8
1988,WEST,1,Fat Lever,DEN,31:00:00,7,14,0,0,3,4,0,4,4,3,0,0,0,4,17,0.5,,0.75
1988,WEST,1,Hakeem Olajuwon,HOU,28:00:00,8,13,0,0,5,7,7,2,9,2,2,2,4,3,21,0.615,,0.714
1988,WEST,1,Alex English,DEN,22:00,5,10,0,0,0,0,2,1,3,4,1,0,0,0,10,0.5,,
1988,WEST,0,Clyde Drexler,POR,15:00,3,5,0,1,6,6,2,3,5,0,1,0,1,3,12,0.6,0,1
1988,WEST,0,Kareem Abdul-Jabbar,LAL,14:00,4,9,0,0,2,2,2,2,4,0,0,0,0,3,10,0.444,,1
